"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"532",83,14,16126,11,13,16,19,24,6,8,4,11,1
"405",71,19,16127,1,5,15,24,26,9,10,-12,5,1
"186",122,15,16128,17,20,22,30,33,7,8,51,-4,1
"754",99,17,16129,7,8,19,30,35,8,9,-23,2,2
"220",133,13,16130,11,23,32,33,34,1,12,34,-4,1
"46",102,9,16131,6,13,25,28,30,2,7,-31,-4,4
"747",98,3,16132,4,18,19,22,35,1,2,-4,-6,1
"320",61,14,16133,1,4,5,23,28,5,9,-37,11,1
"45",102,9,16134,1,3,31,33,34,2,7,41,-5,4
"452",76,13,16135,1,10,12,18,35,1,12,-26,4,1
"316",60,15,16136,5,6,7,19,23,4,11,-16,2,1
"130",113,12,16137,7,20,23,29,34,2,10,53,-3,2
"68",105,16,16138,12,13,16,29,35,5,11,-8,4,1
"215",130,9,16139,13,21,30,31,35,1,8,25,-7,1
"141",114,15,16140,12,16,23,29,34,4,11,-16,6,1
"327",62,23,16141,2,6,7,19,28,11,12,-52,8,2
"423",73,18,16142,1,6,17,23,26,6,12,11,-5,2
"623",90,13,16143,4,6,22,27,31,6,7,17,-5,2
"442",75,15,16144,4,5,13,22,31,5,10,-15,2,1
"357",66,11,16145,1,9,11,17,28,3,8,-9,-4,1
"216",131,12,16146,21,22,25,29,34,1,11,65,1,1
"61",104,16,16147,7,19,20,28,30,4,12,-27,4,1
"514",82,14,16148,5,14,15,23,25,6,8,-22,-2,1
"267",51,13,16149,1,2,3,12,33,4,9,-31,-1,2
"518",82,17,16150,1,10,18,24,29,7,10,31,4,2
"295",57,17,16151,4,7,11,14,21,5,12,-25,0,2
"24",101,16,16152,8,17,22,24,30,5,11,44,-1,1
"179",120,14,16153,13,18,25,29,35,3,11,19,-2,1
"613",89,10,16154,6,16,17,21,29,4,6,-31,-4,2
"15",100,18,17001,7,9,20,31,33,8,10,11,8,2
"744",98,20,17002,7,12,14,31,34,9,11,-2,2,2
"263",49,21,17003,3,5,6,13,22,9,12,-49,1,2
"530",83,13,17004,5,8,11,28,31,6,7,34,-8,2
"688",95,13,17005,5,9,20,26,35,2,11,12,0,5
"691",95,13,17006,5,9,20,26,35,2,11,0,0,5
"610",88,6,17007,8,11,17,25,27,2,4,-7,-7,1
"427",73,6,17008,3,4,9,25,32,2,4,-15,0,2
"281",53,7,17009,5,6,8,12,22,3,4,-20,1,1
"498",80,3,17010,4,10,13,18,35,1,2,27,-4,1
"60",104,15,17011,5,15,21,29,34,6,9,24,12,2
"677",94,19,17012,4,5,24,26,35,7,12,-10,4,2
"746",98,23,17013,5,12,17,30,34,11,12,4,4,1
"457",76,7,17014,4,8,15,24,25,2,5,-22,-16,1
"608",88,3,17015,1,7,19,27,34,1,2,12,-4,1
"86",107,19,17016,3,13,28,30,33,9,10,19,16,1
"39",102,10,17017,4,19,24,26,29,4,6,-5,-9,1
"329",63,10,17018,6,7,10,17,23,1,9,-39,0,1
"389",70,12,17019,2,6,14,23,25,2,10,7,2,2
"150",116,11,17020,16,21,24,27,28,4,7,46,-1,1
"484",79,14,17021,1,15,17,20,26,6,8,-37,3,1
"286",55,18,17022,2,3,9,17,24,6,12,-24,4,1
"537",83,17,17023,5,8,12,24,34,7,10,28,-1,1
"230",140,23,17024,21,23,29,32,35,11,12,57,6,1
"761",99,9,17025,10,16,19,20,34,4,5,-41,-14,1
"20",100,9,17026,10,14,19,25,32,2,7,1,0,2
"159",117,14,17027,8,17,25,33,34,3,11,17,5,1
"43",102,20,17028,6,18,22,23,33,9,11,-15,6,1
"369",67,12,17029,1,6,14,17,29,1,11,-35,-8,4
"212",130,11,17030,21,22,24,29,34,5,6,63,-1,1
"720",97,11,17031,2,16,17,30,32,2,9,-33,0,3
"451",76,12,17032,2,13,14,18,29,3,9,-21,1,1
"173",119,16,17033,15,22,23,25,34,5,11,43,4,1
"670",94,13,17034,6,12,21,26,29,2,11,-25,-3,2
"154",116,19,17035,14,17,22,30,33,7,12,22,6,1
"355",65,7,17036,1,4,9,18,33,2,5,-51,-12,1
"111",110,17,17037,13,15,16,32,34,6,11,45,10,2
"368",67,12,17038,4,5,13,18,27,3,9,-43,-5,4
"376",68,11,17039,5,6,14,17,26,3,8,1,-1,2
"414",72,20,17040,4,6,10,23,29,9,11,4,9,1
"377",68,14,17041,2,4,6,25,31,5,9,-4,-6,1
"165",117,8,17042,2,17,31,33,34,1,7,49,-6,1
"32",101,21,17043,6,13,22,25,35,9,12,-16,13,1
"589",87,11,17044,11,16,17,18,25,2,9,-14,-10,2
"454",76,21,17045,1,8,11,21,35,9,12,-11,10,1
"682",94,5,17046,4,17,20,23,30,2,3,18,-16,2
"222",133,21,17047,15,19,32,33,34,9,12,39,16,1
"333",63,13,17048,7,9,13,15,19,3,10,-70,-8,3
"600",88,13,17049,9,12,14,22,31,5,8,25,0,4
"646",91,8,17050,12,14,17,20,28,2,6,3,-5,1
"16",100,21,17051,14,17,18,22,29,10,11,9,13,1
"83",107,16,17052,3,19,24,28,33,4,12,7,-5,1
"663",93,12,17053,6,19,20,22,26,1,11,-14,-4,1
"231",140,9,17054,16,29,30,32,33,4,5,47,-3,1
"192",124,12,17055,19,20,22,30,33,3,9,-16,3,1
"599",88,13,17056,1,4,24,27,32,3,10,-36,1,4
"685",94,7,17057,12,16,19,23,24,2,5,6,-6,2
"37",101,9,17058,14,18,20,21,28,3,6,7,2,2
"341",64,13,17059,8,11,13,15,17,3,10,-37,4,1
"27",101,17,17060,9,15,20,26,31,5,12,37,4,3
"87",107,6,17061,10,19,23,25,30,2,4,6,-11,1
"257",47,20,17062,1,4,6,8,28,8,12,-60,14,1
"142",114,16,17063,18,21,22,24,29,5,11,67,-4,1
"587",86,7,17064,1,8,20,27,30,3,4,-28,-9,2
"443",75,17,17065,5,11,12,19,28,5,12,-11,10,1
"67",105,13,17066,11,15,23,26,30,2,11,30,-4,1
"125",112,21,17067,10,17,18,32,35,10,11,7,8,1
"563",85,13,17068,7,8,19,24,27,6,7,-27,-8,3
"29",101,19,17069,10,16,20,23,32,8,11,16,6,3
"713",96,5,17070,6,16,18,26,30,2,3,-5,-14,1
"331",63,12,17071,1,4,11,14,33,5,7,-33,7,2
"760",99,7,17072,1,3,29,32,34,2,5,36,-5,1
"164",117,3,17073,7,18,28,31,33,1,2,18,-4,1
"306",59,19,17074,8,10,11,13,17,8,11,-58,16,2
"575",85,7,17075,5,11,16,18,35,1,6,26,-12,3
"756",99,19,17076,2,7,25,30,35,7,12,14,12,1
"343",64,15,17077,1,3,4,25,31,6,9,-35,-4,1
"38",101,9,17078,4,5,27,31,34,3,6,37,-6,2
"40",102,13,17079,1,17,19,32,33,2,11,1,4,1
"18",100,7,17080,8,10,21,30,31,2,5,-2,-6,2
"542",83,7,17081,2,12,15,20,34,1,6,-17,0,1
"552",84,17,17082,5,13,20,21,25,8,9,1,10,1
"462",77,12,17083,2,5,14,22,34,3,9,-7,-5,2
"540",83,21,17084,6,11,14,21,31,9,12,6,9,2
"645",91,7,17085,9,13,14,25,30,2,5,8,-14,1
"748",98,9,17086,12,15,18,22,31,1,8,7,2,2
"44",102,8,17087,3,14,21,29,35,2,6,4,-1,1
"221",133,17,17088,5,28,31,34,35,8,9,31,9,1
"254",47,13,17089,3,5,6,15,18,3,10,-86,-4,1
"511",81,20,17090,3,6,15,22,35,9,11,34,7,1
"259",48,15,17091,1,5,7,16,19,3,12,-33,-5,2
"395",70,9,17092,3,7,9,17,34,4,5,22,-6,1
"480",78,6,17093,5,6,17,21,29,2,4,8,-3,1
"472",78,12,17094,3,5,8,29,33,4,8,0,6,2
"236",149,15,17095,15,32,33,34,35,3,12,71,3,1
"344",64,16,17096,3,7,9,17,28,4,12,-85,1,2
"711",96,19,17097,7,14,19,22,34,7,12,32,3,2
"730",97,21,17098,6,9,17,30,35,10,11,1,2,1
"450",76,10,17099,8,9,17,18,24,3,7,-21,-11,2
"437",75,10,17100,2,5,18,19,31,1,9,-1,0,3
"692",95,13,17101,5,15,21,25,29,5,8,20,3,5
"621",89,20,17102,1,12,23,24,29,8,12,-6,7,2
"716",96,7,17103,4,19,20,24,29,3,4,7,-13,4
"757",99,20,17104,9,11,22,27,30,9,11,3,13,1
"722",97,11,17105,4,15,22,24,32,2,9,-2,-9,3
"644",91,6,17106,9,12,18,23,29,2,4,-6,-5,1
"569",85,18,17107,4,10,19,25,27,6,12,-6,12,1
"335",63,13,17108,1,4,15,21,22,4,9,-22,-5,3
"669",94,12,17109,6,9,19,26,34,5,7,31,-1,2
"17",100,7,17110,10,14,20,21,35,2,5,6,-5,2
"665",93,20,17111,2,14,17,26,34,8,12,-7,13,1
"675",94,18,17112,5,6,20,31,32,6,12,1,-2,2
"400",71,16,17113,5,8,17,18,23,4,12,-23,-2,1
"361",66,13,17114,6,7,12,18,23,1,12,-5,-3,1
"99",109,14,17115,14,19,20,25,31,6,8,43,1,1
"196",124,4,17116,2,27,30,32,33,1,3,15,-10,1
"465",77,18,17117,5,7,9,24,32,8,10,-47,14,1
"475",78,14,17118,2,7,16,20,33,3,11,1,-4,1
"614",89,11,17119,5,7,13,29,35,3,8,11,-3,1
"3",100,11,17120,8,15,24,26,27,5,6,11,0,2
"458",76,8,17121,1,6,12,26,31,1,7,-24,-3,2
"707",96,14,17122,3,12,18,29,34,3,11,20,6,2
"753",99,13,17123,3,15,23,26,32,1,12,3,-1,1
"210",129,11,17124,3,29,30,32,35,3,8,30,-2,1
"633",90,9,17125,7,11,18,26,28,4,5,-39,-2,2
"461",77,12,17126,3,4,13,24,33,1,11,-13,3,2
"474",78,13,17127,2,15,18,21,22,3,10,1,1,1
"556",84,5,17128,9,11,13,18,33,2,3,6,-8,2
"81",107,13,17129,5,17,20,32,33,4,9,23,8,1
"169",118,7,17130,5,18,28,33,34,3,4,11,-6,1
"384",69,13,17131,3,5,8,19,34,1,12,-49,6,1
"57",104,11,17132,11,17,23,26,27,1,10,35,-2,2
"155",116,4,17133,15,17,19,32,33,1,3,12,-7,1
"108",110,12,17134,7,18,19,32,34,2,10,-6,8,1
"387",69,6,17135,1,12,15,19,22,2,4,-41,-6,1
"447",75,7,17136,1,11,20,21,22,3,4,6,1,1
"4",100,12,17137,1,20,22,28,29,5,7,25,5,2
"349",65,13,17138,4,7,9,20,25,2,11,-35,1,3
"554",84,21,17139,2,6,19,25,32,9,12,19,8,2
"79",106,6,17140,10,16,25,26,29,1,5,22,-15,1
"524",82,8,17141,2,8,21,22,29,3,5,-24,2,4
"383",69,12,17142,1,5,16,19,28,2,10,-13,4,1
"19",100,9,17143,6,9,24,29,32,2,7,31,-3,2
"94",108,21,17144,3,21,23,29,32,10,11,8,12,1
"351",65,13,17145,4,7,17,18,19,3,10,-43,-8,3
"364",66,19,17146,1,5,11,14,35,9,10,1,6,1
"723",97,12,17147,5,16,17,25,34,1,11,31,-7,2
"234",144,23,17148,19,27,31,32,35,11,12,47,11,1
"742",98,16,17149,10,18,19,25,26,4,12,-46,-7,1
"266",50,20,17150,3,6,10,13,18,9,11,-48,4,1
"686",94,9,17151,5,6,23,28,32,4,5,44,-11,1
"340",64,10,17152,2,4,7,23,28,2,8,-30,1,1
"679",94,21,17153,1,9,24,26,34,9,12,30,11,2
"717",96,7,18001,1,13,22,25,35,3,4,2,-14,4
"156",116,7,18002,12,20,23,27,34,1,6,20,0,1
"42",102,19,18003,4,21,23,24,30,9,10,-14,12,1
"660",93,11,18004,4,9,22,28,30,1,10,-9,-8,3
"628",90,19,18005,4,9,23,24,30,8,11,-3,8,1
"225",134,8,18006,19,20,30,32,33,3,5,44,-11,1
"8",100,15,18007,3,4,28,31,34,4,11,-34,7,3
"539",83,21,18008,9,15,17,20,22,10,11,-17,6,2
"145",114,7,18009,10,12,28,30,34,3,4,31,-14,2
"219",132,16,18010,24,25,26,28,29,4,12,18,9,1
"494",80,11,18011,3,13,15,23,26,1,10,-52,-5,2
"124",112,18,18012,3,22,24,29,34,7,11,32,7,1
"218",131,17,18013,8,24,31,33,35,7,10,19,-1,1
"55",103,9,18014,14,16,18,24,31,1,8,-28,-8,2
"485",79,16,18015,4,13,15,18,29,5,11,-24,7,1
"270",51,21,18016,1,2,12,13,23,9,12,-28,5,1
"739",98,13,18017,4,19,21,23,31,4,9,47,-8,3
"488",79,18,18018,6,8,13,24,28,6,12,-19,5,1
"616",89,17,18019,10,11,19,21,28,5,12,10,-1,3
"308",59,21,18020,1,10,13,14,21,9,12,-30,4,1
"246",43,15,18021,5,6,8,9,15,4,11,-16,-6,1
"750",99,11,18022,2,10,19,33,35,5,6,56,-4,2
"659",93,10,18023,12,13,18,21,29,2,8,-6,-1,3
"56",104,11,18024,2,16,24,30,32,4,7,11,1,2
"421",73,15,18025,7,8,9,15,34,7,8,-31,4,2
"243",40,8,18026,1,2,3,4,30,3,5,-33,-7,1
"582",86,15,18027,1,18,20,21,26,4,11,46,7,2
"128",113,11,18028,4,19,25,30,35,4,7,27,-4,2
"597",87,9,18029,3,9,21,25,29,1,8,-26,-2,2
"62",104,20,18030,5,18,21,28,32,9,11,17,11,1
"345",64,16,18031,3,8,13,17,23,5,11,-40,-4,2
"25",101,17,18032,7,10,17,32,35,5,12,37,1,3
"504",81,13,18033,2,3,19,23,34,4,9,-20,-4,3
"1",100,10,18034,8,11,22,27,32,3,7,19,-3,1
"301",58,18,18035,5,7,10,12,24,7,11,-42,8,1
"673",94,15,18036,11,17,18,21,27,7,8,36,-3,1
"649",92,13,18037,1,3,27,30,31,2,11,-2,-2,2
"200",125,4,18038,14,23,25,31,32,1,3,33,-9,2
"553",84,21,18039,2,7,14,29,32,10,11,-41,17,2
"611",88,9,18040,5,7,18,27,31,1,8,4,-12,1
"133",113,13,18041,1,23,25,31,33,1,12,25,4,3
"117",111,14,18042,3,19,25,29,35,5,9,-2,1,1
"536",83,15,18043,3,6,13,28,33,4,11,-28,1,4
"268",51,13,18044,2,4,6,18,21,5,8,-32,-2,2
"651",92,14,18045,2,5,20,30,35,5,9,41,1,1
"134",113,15,18046,10,20,22,29,32,5,10,21,1,1
"284",55,12,18047,3,8,10,14,20,4,8,-58,-3,1
"322",61,9,18048,2,3,11,20,25,2,7,6,-3,1
"247",43,18,18049,4,7,9,10,13,6,12,-18,9,1
"232",141,18,18050,22,24,26,34,35,6,12,98,0,1
"171",119,14,18051,9,18,28,29,35,3,11,-22,-4,1
"543",83,9,18052,5,16,18,19,25,2,7,-36,-5,2
"706",96,14,18053,11,16,21,23,25,2,12,13,5,2
"512",81,8,18054,9,10,12,20,30,1,7,-15,-6,1
"729",97,19,18055,3,7,20,33,34,9,10,16,11,1
"547",84,12,18056,2,4,16,28,34,5,7,-13,-7,3
"97",109,11,18057,13,19,22,27,28,5,6,25,-1,1
"626",90,14,18058,9,11,12,26,32,4,10,-19,3,2
"517",82,17,18059,1,9,10,27,35,6,11,-8,3,2
"129",113,12,18060,4,22,27,29,31,2,10,31,-5,2
"571",85,19,18061,4,10,12,28,31,8,11,-28,7,3
"54",103,9,18062,12,14,19,23,35,2,7,18,-10,2
"7",100,13,18063,5,14,15,32,34,3,10,-3,4,2
"262",48,6,18064,1,3,4,11,29,2,4,-52,-7,1
"93",108,18,18065,7,10,28,31,32,8,10,60,12,1
"103",109,5,18066,1,20,23,32,33,1,4,1,-13,1
"401",71,17,18067,3,7,12,18,31,7,10,-38,12,1
"687",95,11,18068,8,12,16,26,33,5,6,24,-6,1
"372",67,13,18069,1,8,13,21,24,2,11,-28,2,2
"330",63,11,18070,2,5,10,16,30,4,7,-4,-2,1
"635",91,12,18071,2,5,23,30,31,3,9,28,1,3
"555",84,3,18072,5,12,17,24,26,1,2,-7,-9,1
"107",110,10,18073,13,19,24,25,29,2,8,26,7,1
"516",82,16,18074,3,9,12,28,30,4,12,-28,6,1
"422",73,16,18075,1,6,12,20,34,4,12,-9,0,1
"140",114,14,18076,7,18,28,29,32,6,8,41,-2,1
"294",57,17,18077,1,6,9,15,26,8,9,-57,3,2
"526",82,9,18078,7,11,12,22,30,3,6,25,-8,1
"426",73,6,18079,3,4,10,27,29,1,5,-9,-3,2
"63",104,21,18080,7,16,24,26,31,10,11,31,15,1
"502",81,13,18081,2,10,13,21,35,1,12,-23,-8,3
"272",52,18,18082,1,2,14,17,18,8,10,-29,5,1
"758",99,21,18083,7,12,25,27,28,10,11,47,3,1
"641",91,23,18084,6,11,17,22,35,11,12,-8,2,1
"417",73,12,18085,1,2,14,25,31,5,7,-18,-11,2
"189",122,9,18086,16,22,24,29,31,4,5,49,-3,1
"557",84,5,18087,3,14,19,23,25,1,4,-38,-4,2
"718",96,9,18088,8,9,21,25,33,1,8,12,4,2
"235",147,16,18089,26,27,28,32,34,6,10,51,7,1
"160",117,15,18090,6,20,24,33,34,4,11,-30,-1,2
"139",113,8,18091,6,22,26,28,31,1,7,-4,-7,1
"336",63,14,18092,5,7,14,18,19,4,10,-50,6,1
"505",81,14,18093,3,11,16,18,33,3,11,18,0,2
"153",116,18,18094,11,16,25,30,34,8,10,35,4,1
"51",103,17,18095,7,14,18,29,35,5,12,-13,-1,1
"100",109,16,18096,13,14,20,28,34,6,10,6,-1,1
"467",77,5,18097,10,12,14,18,23,1,4,-32,-11,1
"591",87,12,18098,2,15,18,25,27,5,7,10,7,1
"525",82,8,18099,12,13,16,20,21,1,7,-5,-4,4
"50",103,15,18100,6,20,21,26,30,6,9,21,7,1
"559",84,9,18101,3,14,15,23,29,4,5,-19,-6,1
"415",72,22,18102,6,7,13,22,24,10,12,-12,13,1
"208",127,5,18103,14,24,26,28,35,2,3,55,-17,1
"519",82,18,18104,1,13,14,26,28,7,11,-45,13,1
"596",87,9,18105,1,16,19,20,31,2,7,5,-9,2
"631",90,5,18106,4,14,17,24,31,1,4,3,-4,2
"292",56,7,18107,7,8,9,10,22,3,4,-34,2,1
"76",106,19,18108,9,10,24,31,32,7,12,50,12,2
"95",108,7,18109,10,16,23,25,34,2,5,2,-12,1
"22",101,14,18110,6,19,21,27,28,3,11,-7,7,1
"80",106,9,18111,3,16,27,28,32,4,5,5,-5,1
"289",56,13,18112,3,7,8,9,29,3,10,-50,4,1
"120",111,9,18113,8,12,27,31,33,4,5,55,-4,1
"127",113,11,18114,12,18,26,28,29,5,6,2,2,2
"347",64,3,18115,2,6,13,18,25,1,2,-49,-8,1
"583",86,17,18116,1,14,17,21,33,7,10,22,14,1
"513",82,11,18117,7,11,13,22,29,3,8,-4,-6,1
"476",78,15,18118,4,5,14,21,34,6,9,-4,4,1
"468",77,7,18119,6,9,11,16,35,2,5,-1,-8,1
"199",125,17,18120,21,22,25,27,30,8,9,48,10,1
"662",93,11,18121,6,7,21,29,30,1,10,-32,-6,3
"755",99,17,18122,8,9,21,30,31,5,12,6,6,2
"119",111,6,18123,6,9,29,32,35,2,4,12,-11,2
"386",69,21,18124,8,10,12,19,20,10,11,-42,15,1
"733",98,10,18125,7,16,20,21,34,4,6,29,-11,1
"590",87,11,18126,11,13,15,21,27,5,6,-11,1,2
"261",48,20,18127,1,3,4,11,29,8,12,-39,9,1
"486",79,17,18128,11,12,14,16,26,8,9,31,-3,2
"544",83,9,18129,4,7,21,22,29,3,6,4,-8,2
"358",66,12,18130,3,4,16,18,25,1,11,-17,3,3
"122",112,13,18131,12,14,21,32,33,2,11,46,1,1
"643",91,5,18132,3,16,22,23,27,1,4,-21,-8,1
"375",68,11,18133,8,12,14,15,19,1,10,-23,6,2
"672",94,14,18134,4,5,19,31,35,2,12,26,3,1
"162",117,18,18135,14,19,23,27,34,6,12,23,4,1
"362",66,16,18136,3,11,12,19,21,5,11,-51,-2,2
"698",95,19,18137,7,10,22,23,33,8,11,29,3,2
"105",109,9,18138,1,23,24,28,33,4,5,14,-10,3
"695",95,15,18139,5,11,16,28,35,6,9,-14,6,2
"245",42,7,18140,1,6,8,12,15,3,4,-53,-8,1
"650",92,13,18141,3,7,23,26,33,4,9,50,6,2
"224",134,21,18142,19,24,28,29,34,10,11,42,8,1
"585",86,3,18143,4,7,20,22,33,1,2,-48,-18,1
"709",96,18,18144,6,17,18,24,31,7,11,10,15,1
