"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"573",85,7,19092,2,11,15,27,30,2,5,-3,-8,3
"191",123,8,19093,16,17,26,29,35,1,7,38,1,1
"496",80,16,19094,1,12,14,26,27,7,9,-43,8,1
"523",82,8,19095,3,12,17,19,31,2,6,2,-8,4
"588",86,8,19096,2,12,22,23,27,2,6,4,0,1
"126",112,22,19097,10,17,20,30,35,10,12,26,14,1
"586",86,7,19098,13,15,17,19,22,3,4,-26,-15,2
"603",88,16,19099,4,6,18,27,33,7,9,2,9,1
"352",65,17,19100,5,8,12,19,21,6,11,-23,1,1
"493",80,11,19101,5,11,18,19,27,5,6,15,-6,2
"500",80,9,19102,5,10,15,19,31,3,6,0,-2,1
"734",98,11,19103,5,12,22,27,32,4,7,18,2,3
"481",78,8,19104,2,7,19,22,28,3,5,-20,-3,1
"250",45,7,19105,1,4,9,14,17,1,6,-33,-1,1
"622",90,12,19106,5,8,10,32,35,2,10,45,5,1
"701",95,5,19107,5,9,19,27,35,2,3,5,-7,1
"233",144,12,19108,24,27,28,31,34,4,8,49,7,1
"326",62,23,19109,2,7,8,20,25,11,12,-82,11,2
"732",97,9,19110,1,19,23,24,30,4,5,35,-14,1
"639",91,18,19111,6,15,20,23,27,8,10,-6,9,1
"529",83,11,19112,3,10,16,21,33,5,6,-8,-7,2
"113",110,3,19113,3,11,27,34,35,1,2,27,-8,1
"299",58,15,19114,3,5,7,20,23,4,11,-52,12,2
"12",100,17,19115,1,18,21,28,32,5,12,42,2,3
"411",72,14,19116,2,10,16,21,23,2,12,-28,-3,1
"10",100,15,19117,1,18,21,25,35,7,8,28,1,3
"338",63,5,19118,2,3,13,19,26,2,3,-37,-10,1
"441",75,13,19119,3,6,9,23,34,2,11,12,8,1
"560",85,10,19120,6,15,17,22,25,1,9,10,-3,1
"237",30,14,19121,1,2,3,7,17,4,10,-55,4,1
"136",113,21,19122,5,19,25,31,33,10,11,83,7,1
"593",87,17,19123,3,13,15,26,30,5,12,-26,-4,2
"85",107,18,19124,7,17,26,27,30,6,12,20,1,2
"393",70,7,19125,5,8,9,14,34,2,5,-37,-11,1
"471",78,11,19126,5,9,16,18,30,4,7,8,4,1
"252",46,20,19127,4,7,8,11,16,9,11,-32,9,1
"226",135,15,19128,20,21,25,34,35,3,12,89,-5,1
"676",94,18,19129,10,13,18,23,30,6,12,-41,3,2
"506",81,14,19130,1,13,20,21,26,4,10,-13,-4,2
"509",81,16,19131,5,6,14,27,29,6,10,0,2,1
"249",45,22,19132,3,5,6,13,18,10,12,-36,6,1
"6",100,13,19133,3,12,24,27,34,1,12,55,-9,2
"264",49,21,19134,5,6,7,14,17,10,11,-51,8,2
"483",79,12,19135,4,5,19,25,26,1,11,30,-9,1
"668",94,12,19136,3,16,20,26,29,3,9,15,0,2
"305",59,19,19137,3,5,12,13,26,7,12,-35,7,2
"366",66,6,19138,4,6,7,20,29,2,4,7,-13,1
"239",32,16,19139,1,5,7,8,11,6,10,-34,10,1
"394",70,8,19140,3,7,8,25,27,3,5,38,-8,1
"598",88,13,19141,2,10,20,21,35,1,12,18,5,4
"689",95,13,19142,3,4,26,29,33,6,7,7,0,5
"69",105,18,19143,4,22,23,24,32,6,12,10,5,1
"578",86,13,19144,2,5,20,28,31,2,11,-19,-5,1
"595",87,8,19145,5,9,19,22,32,3,5,1,-5,1
"144",114,7,19146,10,11,26,33,34,1,6,27,-1,2
"696",95,15,19147,9,12,19,22,33,7,8,-19,8,2
